# This is another example of data input

params:
  capacity 10.000000
nodes:
  node1		0.331		-6.238		-9.760
  node2		4.239		2.141		-11.340
  node3		4.048		1.675		10.392
  node4		8.926		4.872		-1.665
  node5		1.346		0.407		4.963
  node6		2.588		7.111		-3.269
  node7		3.915		1.035		11.662
  node8		8.971		0.670		2.120
  node9		2.781		5.987		12.363
  node10		7.322		0.751		5.576
  node11		8.132		5.971		1.705
  node12		2.623		9.828		0.039
  node13		7.222		-4.603		10.678
  node14		1.474		-9.863		6.792
  node15		6.595		-1.747		-9.842
  node16		1.975		-5.225		-3.605
  node17		0.203		2.728		-9.208
  node18		8.868		8.022		-2.843
  node19		5.143		8.378		4.263
  node20		0.705		3.771		8.992
